Current,Power,SSID,Voltage,device,time
0.95,222.15,Ananya_R,234.56,hair_dryer,2024-11-03T08:54:40.600303625Z
0.92,216.28,Ananya_R,234.52,hair_dryer,2024-11-03T08:54:48.176853771Z
1.32,311.74,Ananya_R,236.22,hair_dryer,2024-11-03T08:55:04.354608335Z
1.31,309.5,Ananya_R,236.27,hair_dryer,2024-11-03T08:55:12.139487963Z
0.92,215.76,Ananya_R,235.38,hair_dryer,2024-11-03T08:55:20.541520714Z
0.92,216.72,Ananya_R,235.33,hair_dryer,2024-11-03T08:55:29.753582509Z
0.94,222.28,Ananya_R,235.62,hair_dryer,2024-11-03T08:55:37.948422887Z
0.93,217.69,Ananya_R,234.77,hair_dryer,2024-11-03T08:55:47.240919362Z
0.94,220.7,Ananya_R,235.22,hair_dryer,2024-11-03T08:55:56.779170502Z
1,234.78,Ananya_R,235.28,hair_dryer,2024-11-03T08:56:04.976346039Z
1.04,246.09,Ananya_R,235.63,hair_dryer,2024-11-03T08:56:12.576853747Z
1.16,271.16,Ananya_R,234.53,hair_dryer,2024-11-03T08:56:20.333592533Z
1.18,276.55,Ananya_R,234.67,hair_dryer,2024-11-03T08:56:29.351247418Z
5.13,1157.91,Ananya_R,225.84,hair_dryer,2024-11-03T08:56:37.131107298Z
5.14,1164.79,Ananya_R,226.76,hair_dryer,2024-11-03T08:56:44.708908825Z
5.11,1155.27,Ananya_R,226.12,hair_dryer,2024-11-03T08:56:53.718805781Z
0.96,225.53,Ananya_R,236.07,hair_dryer,2024-11-03T08:57:01.764373523Z
0.91,215.21,Ananya_R,235.68,hair_dryer,2024-11-03T08:57:10.946319731Z
0.98,229.3,Ananya_R,235.17,hair_dryer,2024-11-03T08:57:18.507423368Z
0.89,206.81,Ananya_R,232.96,hair_dryer,2024-11-03T08:57:27.706914332Z
0.93,216.77,Ananya_R,232.06,hair_dryer,2024-11-03T08:57:35.701817317Z
0.93,216.04,Ananya_R,231.86,hair_dryer,2024-11-03T08:57:44.099075528Z
0.97,224.51,Ananya_R,232.18,hair_dryer,2024-11-03T08:57:53.925213981Z
0.87,202.52,Ananya_R,232.59,hair_dryer,2024-11-03T08:58:01.90858292Z
0.97,225.75,Ananya_R,232.52,hair_dryer,2024-11-03T08:58:09.942404325Z
0.98,227.48,Ananya_R,232.57,hair_dryer,2024-11-03T08:58:20.496037273Z
0.99,229.65,Ananya_R,232.53,hair_dryer,2024-11-03T08:58:28.546497455Z
1.03,240.46,Ananya_R,233.26,hair_dryer,2024-11-03T08:58:36.002866885Z
0.91,212.14,Ananya_R,232.46,hair_dryer,2024-11-03T08:58:43.906035266Z
0.94,218.75,Ananya_R,232.12,hair_dryer,2024-11-03T08:58:51.680418739Z
0.98,228.69,Ananya_R,232.27,hair_dryer,2024-11-03T08:58:59.676705446Z
0.81,187.28,Ananya_R,231.6,hair_dryer,2024-11-03T08:59:07.363210949Z
0.91,212.03,Ananya_R,232.29,hair_dryer,2024-11-03T08:59:15.442246401Z
0.94,217.67,Ananya_R,232.35,hair_dryer,2024-11-03T08:59:23.64076938Z
0.92,212.87,Ananya_R,230.98,hair_dryer,2024-11-03T08:59:31.630090215Z
0.9,208.88,Ananya_R,231.1,hair_dryer,2024-11-03T08:59:40.840099842Z
0.98,225.49,Ananya_R,230.92,hair_dryer,2024-11-03T08:59:48.65185616Z
0.91,210.33,Ananya_R,230.62,hair_dryer,2024-11-03T08:59:56.422346421Z
0.96,223.22,Ananya_R,231.52,hair_dryer,2024-11-03T09:00:03.701435996Z
0.95,220.41,Ananya_R,231.1,hair_dryer,2024-11-03T09:00:16.679680824Z
0.94,216.92,Ananya_R,231.32,hair_dryer,2024-11-03T09:00:24.463553848Z
0.96,222.33,Ananya_R,231.22,hair_dryer,2024-11-03T09:00:33.686593133Z
0.95,220.19,Ananya_R,231.05,hair_dryer,2024-11-03T09:00:42.911986886Z
0.93,213.36,Ananya_R,230.53,hair_dryer,2024-11-03T09:00:52.309901682Z
0.97,224.18,Ananya_R,231.56,hair_dryer,2024-11-03T09:01:01.33272809Z
0.98,225.24,Ananya_R,230.84,hair_dryer,2024-11-03T09:01:08.941527848Z
0.96,220.6,Ananya_R,230.89,hair_dryer,2024-11-03T09:01:16.901044085Z
0.95,219.62,Ananya_R,231.28,hair_dryer,2024-11-03T09:01:39.000745824Z
0.95,218.43,Ananya_R,230.96,hair_dryer,2024-11-03T09:01:41.057973966Z
24.74,6938.47,Ananya_R,280.44,hair_dryer,2024-11-03T09:02:21.600062568Z
1.6,370.75,Ananya_R,231.25,hair_dryer,2024-11-03T09:02:29.589069298Z
1.54,355.15,Ananya_R,230.92,hair_dryer,2024-11-03T09:02:38.09254884Z
