Current,Power,SSID,Voltage,device,time
1.07,254.33,Ananya_R,236.92,INDUCTION_STOVE,2024-11-03T15:57:46.013484724Z
1.13,268.29,Ananya_R,236.69,INDUCTION_STOVE,2024-11-03T15:57:55.410969042Z
8.96,2039.73,Ananya_R,227.72,INDUCTION_STOVE,2024-11-03T15:58:08.345434144Z
8.99,2053.54,Ananya_R,228.33,INDUCTION_STOVE,2024-11-03T15:58:17.825712996Z
8.91,2029.86,Ananya_R,227.87,INDUCTION_STOVE,2024-11-03T15:58:27.208874188Z
8.86,2019.7,Ananya_R,227.95,INDUCTION_STOVE,2024-11-03T15:58:36.167752619Z
8.83,2015.34,Ananya_R,228.12,INDUCTION_STOVE,2024-11-03T15:58:45.795882988Z
8.82,2012.34,Ananya_R,228.03,INDUCTION_STOVE,2024-11-03T15:58:53.196932806Z
8.84,2017.03,Ananya_R,228.17,INDUCTION_STOVE,2024-11-03T15:59:00.377106129Z
8.79,2007.97,Ananya_R,228.39,INDUCTION_STOVE,2024-11-03T15:59:07.354728233Z
8.9,2029.78,Ananya_R,228.15,INDUCTION_STOVE,2024-11-03T15:59:14.676450695Z
8.8,2001.73,Ananya_R,227.41,INDUCTION_STOVE,2024-11-03T15:59:23.511616883Z
8.89,2028.76,Ananya_R,228.21,INDUCTION_STOVE,2024-11-03T15:59:32.898347958Z
8.74,1991.83,Ananya_R,227.91,INDUCTION_STOVE,2024-11-03T15:59:40.207026537Z
8.74,1999.35,Ananya_R,228.89,INDUCTION_STOVE,2024-11-03T15:59:47.958968134Z
8.73,1997.93,Ananya_R,228.94,INDUCTION_STOVE,2024-11-03T15:59:56.550746586Z
8.81,2011.34,Ananya_R,228.27,INDUCTION_STOVE,2024-11-03T16:00:06.205741779Z
8.75,1997.67,Ananya_R,228.35,INDUCTION_STOVE,2024-11-03T16:00:14.60726404Z
8.78,2024.48,Ananya_R,230.57,INDUCTION_STOVE,2024-11-03T16:00:21.74555836Z
8.93,2037.51,Ananya_R,228.05,INDUCTION_STOVE,2024-11-03T16:00:30.5658482Z
8.72,1995.51,Ananya_R,228.71,INDUCTION_STOVE,2024-11-03T16:00:37.77521534Z
8.86,2027.45,Ananya_R,228.72,INDUCTION_STOVE,2024-11-03T16:00:46.322299713Z
9.07,2056.59,Ananya_R,226.8,INDUCTION_STOVE,2024-11-03T16:00:56.569242327Z
8.88,2016.43,Ananya_R,227.15,INDUCTION_STOVE,2024-11-03T16:01:05.40697332Z
8.95,2071.1,Ananya_R,231.51,INDUCTION_STOVE,2024-11-03T16:01:14.588030965Z
6.78,1559.29,Ananya_R,230.02,INDUCTION_STOVE,2024-11-03T16:01:24.001188263Z
6.81,1564.73,Ananya_R,229.68,INDUCTION_STOVE,2024-11-03T16:01:33.258724344Z
5.79,1344.08,Ananya_R,232.31,INDUCTION_STOVE,2024-11-03T16:01:41.825117167Z
8.07,1857.91,Ananya_R,230.26,INDUCTION_STOVE,2024-11-03T16:01:51.498230271Z
10.68,2468.71,Ananya_R,231.17,INDUCTION_STOVE,2024-11-03T16:02:00.479081546Z
10.56,2406.91,Ananya_R,228.02,INDUCTION_STOVE,2024-11-03T16:02:09.297251713Z
1.16,276.15,Ananya_R,237.66,INDUCTION_STOVE,2024-11-03T16:02:17.477981539Z
7.84,1801.49,Ananya_R,229.76,INDUCTION_STOVE,2024-11-03T16:02:25.278405455Z
8.94,2044.25,Ananya_R,228.69,INDUCTION_STOVE,2024-11-03T16:02:35.281948756Z
8.99,2045.35,Ananya_R,227.51,INDUCTION_STOVE,2024-11-03T16:02:45.104997367Z
8.86,2036.21,Ananya_R,229.73,INDUCTION_STOVE,2024-11-03T16:02:53.511346021Z
8.93,2068.88,Ananya_R,231.68,INDUCTION_STOVE,2024-11-03T16:03:03.328264263Z
8.77,2012.77,Ananya_R,229.62,INDUCTION_STOVE,2024-11-03T16:03:13.371481967Z
8.87,2053.6,Ananya_R,231.65,INDUCTION_STOVE,2024-11-03T16:03:21.58596468Z
8.8,2004.88,Ananya_R,227.95,INDUCTION_STOVE,2024-11-03T16:03:29.550079615Z
8.91,1991.93,Ananya_R,223.53,INDUCTION_STOVE,2024-11-03T16:03:37.25472162Z
8.61,1991.77,Ananya_R,231.31,INDUCTION_STOVE,2024-11-03T16:03:45.110152967Z
8.74,1996.28,Ananya_R,228.4,INDUCTION_STOVE,2024-11-03T16:03:53.314693918Z
9.14,2089.89,Ananya_R,228.57,INDUCTION_STOVE,2024-11-03T16:04:03.340773105Z
8.81,2000.9,Ananya_R,227.19,INDUCTION_STOVE,2024-11-03T16:04:11.938323522Z
8.92,2049.4,Ananya_R,229.72,INDUCTION_STOVE,2024-11-03T16:04:20.948397235Z
8.76,2007.22,Ananya_R,229.14,INDUCTION_STOVE,2024-11-03T16:04:31.604236921Z
8.78,2000.82,Ananya_R,227.9,INDUCTION_STOVE,2024-11-03T16:04:42.29346448Z
8.85,2022.66,Ananya_R,228.6,INDUCTION_STOVE,2024-11-03T16:04:51.493284703Z
8.62,1984.39,Ananya_R,230.08,INDUCTION_STOVE,2024-11-03T16:05:01.508093736Z
8.86,2016.44,Ananya_R,227.61,INDUCTION_STOVE,2024-11-03T16:05:16.267071825Z
1.05,250.46,Ananya_R,237.4,INDUCTION_STOVE,2024-11-03T16:05:24.244705163Z
