Current,Power,SSID,Voltage,device,time
47.43,11567.94,Ananya_R,243.91,ironbox_final,2024-11-03T07:36:13.062972246Z
0.11,1.74,Ananya_R,15.13,ironbox_final,2024-11-03T07:36:23.10775911Z
0,0,Ananya_R,8.38,ironbox_final,2024-11-03T07:36:34.122662523Z
0,0,Ananya_R,6.21,ironbox_final,2024-11-03T07:36:42.144769632Z
0,0,Ananya_R,9.97,ironbox_final,2024-11-03T07:36:50.756133996Z
0,0,Ananya_R,8.67,ironbox_final,2024-11-03T07:36:58.939242164Z
0,0,Ananya_R,3.99,ironbox_final,2024-11-03T07:37:07.141730295Z
0,0,Ananya_R,7.41,ironbox_final,2024-11-03T07:37:15.363066554Z
0,0,Ananya_R,2.62,ironbox_final,2024-11-03T07:37:23.946930569Z
0,0,Ananya_R,5.41,ironbox_final,2024-11-03T07:37:32.119243611Z
0,0,Ananya_R,3.4,ironbox_final,2024-11-03T07:37:40.317470466Z
0,0,Ananya_R,6.39,ironbox_final,2024-11-03T07:37:48.497899795Z
0,0,Ananya_R,2.25,ironbox_final,2024-11-03T07:37:58.339424224Z
0,0,Ananya_R,5.87,ironbox_final,2024-11-03T07:38:05.705156662Z
0,0,Ananya_R,7.01,ironbox_final,2024-11-03T07:38:14.51553033Z
0,0,Ananya_R,7.89,ironbox_final,2024-11-03T07:38:23.526243704Z
0,0,Ananya_R,8.26,ironbox_final,2024-11-03T07:38:31.715150444Z
0,0,Ananya_R,2.4,ironbox_final,2024-11-03T07:38:39.915281269Z
0,0,Ananya_R,8.63,ironbox_final,2024-11-03T07:38:48.315933353Z
0,0,Ananya_R,4.6,ironbox_final,2024-11-03T07:38:56.71405433Z
0,0,Ananya_R,2.03,ironbox_final,2024-11-03T07:39:04.92517098Z
0,0,Ananya_R,8.53,ironbox_final,2024-11-03T07:39:13.696474778Z
0,0,Ananya_R,5.22,ironbox_final,2024-11-03T07:39:22.094704273Z
0,0,Ananya_R,2.26,ironbox_final,2024-11-03T07:39:30.326430627Z
0,0,Ananya_R,2.47,ironbox_final,2024-11-03T07:39:38.486762504Z
0,0,Ananya_R,2.55,ironbox_final,2024-11-03T07:39:48.149225643Z
0,0,Ananya_R,3.05,ironbox_final,2024-11-03T07:39:56.765765959Z
0,0,Ananya_R,2.39,ironbox_final,2024-11-03T07:40:04.905416955Z
0,0,Ananya_R,3.93,ironbox_final,2024-11-03T07:40:14.119006387Z
0,0,Ananya_R,5.52,ironbox_final,2024-11-03T07:40:22.929216784Z
0.47,3.34,Ananya_R,7.17,ironbox_final,2024-11-03T07:40:32.592455668Z
0.63,5.53,Ananya_R,8.74,ironbox_final,2024-11-03T07:40:40.749223001Z
0.48,3.17,Ananya_R,6.67,ironbox_final,2024-11-03T07:40:49.200314543Z
0.55,3.53,Ananya_R,6.42,ironbox_final,2024-11-03T07:40:59.99553097Z
0.53,2.15,Ananya_R,4.08,ironbox_final,2024-11-03T07:41:08.178065073Z
0.73,8.38,Ananya_R,11.46,ironbox_final,2024-11-03T07:41:18.012698875Z
0.53,4.72,Ananya_R,8.94,ironbox_final,2024-11-03T07:41:26.836477961Z
0.62,6.16,Ananya_R,9.93,ironbox_final,2024-11-03T07:41:35.016903865Z
0.59,3.4,Ananya_R,5.8,ironbox_final,2024-11-03T07:41:47.481073081Z
0.68,2.53,Ananya_R,3.73,ironbox_final,2024-11-03T07:41:56.318185137Z
0.59,5.15,Ananya_R,8.81,ironbox_final,2024-11-03T07:42:04.511250255Z
1.03,11.96,Ananya_R,11.63,ironbox_final,2024-11-03T07:42:12.703810335Z
0.84,4.29,Ananya_R,5.11,ironbox_final,2024-11-03T07:42:22.212495903Z
1.27,8.35,Ananya_R,6.6,ironbox_final,2024-11-03T07:42:30.517054423Z
0.38,3.62,Ananya_R,9.57,ironbox_final,2024-11-03T07:42:39.522472521Z
0.61,2.6,Ananya_R,4.29,ironbox_final,2024-11-03T07:42:47.711316692Z
1.07,8.58,Ananya_R,8.02,ironbox_final,2024-11-03T07:42:56.324509323Z
0.99,4.99,Ananya_R,5.06,ironbox_final,2024-11-03T07:43:04.520337378Z
0.52,3.4,Ananya_R,6.48,ironbox_final,2024-11-03T07:43:12.915545143Z
0.51,2.11,Ananya_R,4.15,ironbox_final,2024-11-03T07:43:21.094070645Z
0.96,4.65,Ananya_R,4.86,ironbox_final,2024-11-03T07:43:29.703964226Z
0.2,0.84,Ananya_R,4.08,ironbox_final,2024-11-03T07:43:37.89949923Z
0.6,3.65,Ananya_R,6.1,ironbox_final,2024-11-03T07:43:48.743126796Z
0.87,3.91,Ananya_R,4.49,ironbox_final,2024-11-03T07:43:56.979452868Z
0.24,1.22,Ananya_R,5.01,ironbox_final,2024-11-03T07:44:05.128022924Z
0.3,1.12,Ananya_R,3.69,ironbox_final,2024-11-03T07:44:13.320879893Z
0.06,0.26,Ananya_R,4.3,ironbox_final,2024-11-03T07:44:21.419363624Z
0.09,0.4,Ananya_R,4.4,ironbox_final,2024-11-03T07:44:30.64156198Z
0.82,4.36,Ananya_R,5.31,ironbox_final,2024-11-03T07:44:39.954215479Z
115.82,68860.94,Ananya_R,594.53,ironbox_final,2024-11-03T07:45:06.170943918Z
57.12,16942.78,Ananya_R,296.63,ironbox_final,2024-11-03T07:45:17.632140031Z
20.84,2343.35,Ananya_R,112.42,ironbox_final,2024-11-03T07:45:25.827119772Z
7.57,330.03,Ananya_R,43.61,ironbox_final,2024-11-03T07:45:34.010089985Z
3.08,68.6,Ananya_R,22.28,ironbox_final,2024-11-03T07:45:42.239586619Z
1.04,9.62,Ananya_R,9.27,ironbox_final,2024-11-03T07:45:50.709598781Z
0.54,3.54,Ananya_R,6.52,ironbox_final,2024-11-03T07:45:58.99638779Z
0.57,3.19,Ananya_R,5.63,ironbox_final,2024-11-03T07:46:08.016534043Z
0.8,5.97,Ananya_R,7.43,ironbox_final,2024-11-03T07:46:16.201613552Z
0.53,5.72,Ananya_R,10.75,ironbox_final,2024-11-03T07:46:24.399255966Z
0.28,2.39,Ananya_R,8.67,ironbox_final,2024-11-03T07:46:32.493369026Z
0.7,4.86,Ananya_R,6.91,ironbox_final,2024-11-03T07:46:45.905789306Z
0.68,157.34,Ananya_R,230.12,ironbox_final,2024-11-03T07:46:55.931996434Z
3.95,896.1,Ananya_R,226.68,ironbox_final,2024-11-03T07:47:03.96254Z
3.88,876.2,Ananya_R,226.04,ironbox_final,2024-11-03T07:47:12.117390927Z
4,904.44,Ananya_R,225.85,ironbox_final,2024-11-03T07:47:21.123430259Z
3.91,882.12,Ananya_R,225.54,ironbox_final,2024-11-03T07:47:29.311429292Z
3.91,884.92,Ananya_R,226.08,ironbox_final,2024-11-03T07:47:39.15183261Z
3.93,889.83,Ananya_R,226.6,ironbox_final,2024-11-03T07:47:46.728103926Z
0.74,170.45,Ananya_R,230.92,ironbox_final,2024-11-03T07:47:55.94488074Z
0.72,166.73,Ananya_R,230.68,ironbox_final,2024-11-03T07:48:06.804963898Z
0.68,158.01,Ananya_R,231.21,ironbox_final,2024-11-03T07:48:14.785797121Z
0.53,121.99,Ananya_R,231.54,ironbox_final,2024-11-03T07:48:21.953239722Z
0.63,145.4,Ananya_R,230.85,ironbox_final,2024-11-03T07:48:29.128047896Z
0.49,113.23,Ananya_R,231.26,ironbox_final,2024-11-03T07:48:36.901810064Z
0.72,165.96,Ananya_R,231.05,ironbox_final,2024-11-03T07:48:45.097226234Z
0.66,152.5,Ananya_R,231.38,ironbox_final,2024-11-03T07:48:52.874114786Z
0.8,184.46,Ananya_R,231.46,ironbox_final,2024-11-03T07:49:00.663574261Z
0.5,115.65,Ananya_R,231.29,ironbox_final,2024-11-03T07:49:09.267187031Z
0.59,137.46,Ananya_R,231.17,ironbox_final,2024-11-03T07:49:16.638947814Z
0.45,103.55,Ananya_R,231,ironbox_final,2024-11-03T07:49:24.826311049Z
0.5,115.88,Ananya_R,231.07,ironbox_final,2024-11-03T07:49:33.225722454Z
0.54,126.1,Ananya_R,231.38,ironbox_final,2024-11-03T07:49:42.235503178Z
0.41,94.6,Ananya_R,231.4,ironbox_final,2024-11-03T07:49:52.678197083Z
0.85,197.69,Ananya_R,231.41,ironbox_final,2024-11-03T07:50:00.326445006Z
0.63,145.4,Ananya_R,230.92,ironbox_final,2024-11-03T07:50:08.650235Z
0.41,94.7,Ananya_R,231.76,ironbox_final,2024-11-03T07:50:16.226353865Z
0.41,95.04,Ananya_R,231.24,ironbox_final,2024-11-03T07:50:24.420772374Z
0.78,179.41,Ananya_R,230.97,ironbox_final,2024-11-03T07:50:32.608132384Z
4.07,920.37,Ananya_R,226.24,ironbox_final,2024-11-03T07:50:41.214330034Z
0.45,104.15,Ananya_R,231.53,ironbox_final,2024-11-03T07:50:48.790843157Z
0.46,106.49,Ananya_R,231.92,ironbox_final,2024-11-03T07:50:58.004365448Z
0.54,125.62,Ananya_R,231.76,ironbox_final,2024-11-03T07:51:05.734878547Z
0.79,183.54,Ananya_R,231.79,ironbox_final,2024-11-03T07:51:14.432273211Z
0.41,95.93,Ananya_R,231.19,ironbox_final,2024-11-03T07:51:22.383451272Z
0.41,94.32,Ananya_R,230.93,ironbox_final,2024-11-03T07:51:29.953591112Z
0.84,194.71,Ananya_R,231.31,ironbox_final,2024-11-03T07:51:37.327260789Z
0.82,189.62,Ananya_R,231.64,ironbox_final,2024-11-03T07:51:45.320986894Z
0.9,208.94,Ananya_R,231.41,ironbox_final,2024-11-03T07:51:55.156953868Z
0.38,88.11,Ananya_R,231.62,ironbox_final,2024-11-03T07:52:04.165908993Z
0.44,101.86,Ananya_R,231.63,ironbox_final,2024-11-03T07:52:12.55454054Z
0.47,109.75,Ananya_R,231.79,ironbox_final,2024-11-03T07:52:20.95554394Z
0.39,90.05,Ananya_R,231.38,ironbox_final,2024-11-03T07:52:30.00040866Z
0.45,102.75,Ananya_R,229.94,ironbox_final,2024-11-03T07:52:40.619348262Z
0.4,91.72,Ananya_R,231.28,ironbox_final,2024-11-03T07:52:49.415669605Z
0.5,116.53,Ananya_R,231.17,ironbox_final,2024-11-03T07:52:58.056595321Z
1.95,446.87,Ananya_R,229.66,ironbox_final,2024-11-03T07:53:06.218330451Z
3.84,871.78,Ananya_R,226.83,ironbox_final,2024-11-03T07:53:13.382420608Z
0.78,180.02,Ananya_R,231.75,ironbox_final,2024-11-03T07:53:24.03596987Z
0.81,187.15,Ananya_R,231.7,ironbox_final,2024-11-03T07:53:32.843077233Z
0.43,98.72,Ananya_R,232.04,ironbox_final,2024-11-03T07:53:42.073963387Z
0.6,139.81,Ananya_R,232.06,ironbox_final,2024-11-03T07:53:50.881285427Z
0.64,148.16,Ananya_R,232.06,ironbox_final,2024-11-03T07:53:59.056070621Z
0.7,163.47,Ananya_R,231.99,ironbox_final,2024-11-03T07:54:08.274149611Z
0.56,130.55,Ananya_R,231.97,ironbox_final,2024-11-03T07:54:18.513614919Z
0.58,135.22,Ananya_R,231.89,ironbox_final,2024-11-03T07:54:25.886407394Z
0.86,200.73,Ananya_R,232.26,ironbox_final,2024-11-03T07:54:33.667694241Z
0.71,164.01,Ananya_R,232.22,ironbox_final,2024-11-03T07:54:41.688998573Z
0.57,131.31,Ananya_R,231.74,ironbox_final,2024-11-03T07:54:50.735547999Z
0.41,94.14,Ananya_R,231.85,ironbox_final,2024-11-03T07:55:01.714316053Z
0.41,94.03,Ananya_R,231.07,ironbox_final,2024-11-03T07:55:10.527764348Z
0.46,105.7,Ananya_R,231.92,ironbox_final,2024-11-03T07:55:21.872189585Z
0.36,84.17,Ananya_R,231.3,ironbox_final,2024-11-03T07:55:29.784937915Z
2.42,558.14,Ananya_R,230.32,ironbox_final,2024-11-03T07:55:40.084471289Z
4.05,920.88,Ananya_R,227.48,ironbox_final,2024-11-03T07:55:48.617753493Z
0.64,148.91,Ananya_R,231.98,ironbox_final,2024-11-03T07:55:58.652346684Z
0.43,99.15,Ananya_R,232.14,ironbox_final,2024-11-03T07:56:06.431706328Z
0.49,112.53,Ananya_R,231.97,ironbox_final,2024-11-03T07:56:14.214094833Z
0.44,103.21,Ananya_R,231.95,ironbox_final,2024-11-03T07:56:22.817203969Z
0.47,108.08,Ananya_R,232.21,ironbox_final,2024-11-03T07:56:33.884757431Z
0.62,143.87,Ananya_R,232.45,ironbox_final,2024-11-03T07:56:43.911452903Z
0.44,102.11,Ananya_R,232.28,ironbox_final,2024-11-03T07:56:51.897691249Z
