Current,Power,SSID,Voltage,device,time
13.6,1051.27,Ananya_R,77.32,KETTLE,2024-11-03T15:21:15.046277583Z
0.73,173.41,Ananya_R,236.15,KETTLE,2024-11-03T15:21:23.949174406Z
6.51,1486.52,Ananya_R,228.29,KETTLE,2024-11-03T15:21:31.017837587Z
6.32,1442.3,Ananya_R,228.29,KETTLE,2024-11-03T15:21:37.980615246Z
6.24,1427.71,Ananya_R,228.91,KETTLE,2024-11-03T15:21:47.29984606Z
6.3,1439.77,Ananya_R,228.71,KETTLE,2024-11-03T15:21:54.664437437Z
6.27,1432.99,Ananya_R,228.47,KETTLE,2024-11-03T15:22:02.06100202Z
6.29,1434.27,Ananya_R,228.2,KETTLE,2024-11-03T15:22:10.842512367Z
0.57,7.51,Ananya_R,13.15,KETTLE,2024-11-03T15:22:22.935017059Z
0.77,180.67,Ananya_R,235.68,KETTLE,2024-11-03T15:22:31.741508747Z
0.83,196.23,Ananya_R,235.74,KETTLE,2024-11-03T15:22:40.359836531Z
0.84,198.69,Ananya_R,236.03,KETTLE,2024-11-03T15:22:47.750027566Z
6.35,1446.96,Ananya_R,227.82,KETTLE,2024-11-03T15:22:55.519924945Z
6.31,1438.64,Ananya_R,228.01,KETTLE,2024-11-03T15:23:05.331379999Z
6.29,1438.09,Ananya_R,228.78,KETTLE,2024-11-03T15:23:12.704567825Z
6.22,1418.31,Ananya_R,228.03,KETTLE,2024-11-03T15:23:22.128911217Z
6.18,1410.08,Ananya_R,228.32,KETTLE,2024-11-03T15:23:30.830357841Z
6.29,1444.18,Ananya_R,229.62,KETTLE,2024-11-03T15:23:39.936084457Z
6.27,1438.3,Ananya_R,229.48,KETTLE,2024-11-03T15:23:49.154033282Z
6.24,1423.79,Ananya_R,228.17,KETTLE,2024-11-03T15:23:56.59722365Z
6.23,1420.29,Ananya_R,227.92,KETTLE,2024-11-03T15:24:03.902965357Z
6.32,1447.56,Ananya_R,229.14,KETTLE,2024-11-03T15:24:13.158261077Z
0.76,179.86,Ananya_R,235.96,KETTLE,2024-11-03T15:24:20.287628902Z
0.84,197.96,Ananya_R,235.41,KETTLE,2024-11-03T15:24:27.665273133Z
0.77,182.25,Ananya_R,235.59,KETTLE,2024-11-03T15:24:37.078505196Z
6.46,1473.17,Ananya_R,228.11,KETTLE,2024-11-03T15:24:46.084575608Z
6.3,1433.03,Ananya_R,227.51,KETTLE,2024-11-03T15:24:53.259772011Z
6.34,1461,Ananya_R,230.37,KETTLE,2024-11-03T15:25:02.47332117Z
6.25,1422.68,Ananya_R,227.64,KETTLE,2024-11-03T15:25:10.257799913Z
6.21,1410.08,Ananya_R,227.23,KETTLE,2024-11-03T15:25:17.620356694Z
6.17,1401.94,Ananya_R,227.24,KETTLE,2024-11-03T15:25:25.615861308Z
6.18,1408.22,Ananya_R,227.69,KETTLE,2024-11-03T15:25:33.799572487Z
6.19,1406.64,Ananya_R,227.2,KETTLE,2024-11-03T15:25:41.583664531Z
6.22,1415.08,Ananya_R,227.61,KETTLE,2024-11-03T15:25:50.397913719Z
0.84,198.07,Ananya_R,236.18,KETTLE,2024-11-03T15:26:00.089481035Z
0.86,203.93,Ananya_R,235.8,KETTLE,2024-11-03T15:26:08.825378Z
0.49,116.19,Ananya_R,234.87,KETTLE,2024-11-03T15:26:17.023309284Z
0.53,123.49,Ananya_R,235.11,KETTLE,2024-11-03T15:26:26.851684705Z
