Current,Power,SSID,Voltage,device,time
0.66,154.71,Ananya_R,234.01,Table_Fan,2024-11-03T11:22:32.460881108Z
0.65,152.2,Ananya_R,233.22,Table_Fan,2024-11-03T11:22:41.686493705Z
0.69,161.44,Ananya_R,233.14,Table_Fan,2024-11-03T11:22:50.110699853Z
0.67,156.63,Ananya_R,233.83,Table_Fan,2024-11-03T11:22:57.636765429Z
0.67,155.69,Ananya_R,233.18,Table_Fan,2024-11-03T11:23:05.395215738Z
0.66,153.78,Ananya_R,233.06,Table_Fan,2024-11-03T11:23:13.184299267Z
0.64,149.33,Ananya_R,233.37,Table_Fan,2024-11-03T11:23:20.767700172Z
0.67,156.68,Ananya_R,233.45,Table_Fan,2024-11-03T11:23:29.161673019Z
0.66,152.96,Ananya_R,233.05,Table_Fan,2024-11-03T11:23:37.763757371Z
0.66,154.43,Ananya_R,233.13,Table_Fan,2024-11-03T11:23:45.947152716Z
0.64,148.81,Ananya_R,233.23,Table_Fan,2024-11-03T11:23:55.390856894Z
0.67,155.88,Ananya_R,232.76,Table_Fan,2024-11-03T11:24:03.60625795Z
0.67,155.84,Ananya_R,233.32,Table_Fan,2024-11-03T11:24:13.607035413Z
0.7,162.98,Ananya_R,233.53,Table_Fan,2024-11-03T11:24:21.655230795Z
0.65,151.73,Ananya_R,233.39,Table_Fan,2024-11-03T11:24:31.211227279Z
0.68,159.7,Ananya_R,233.15,Table_Fan,2024-11-03T11:24:39.048999072Z
0.66,154.3,Ananya_R,233.13,Table_Fan,2024-11-03T11:24:47.206750787Z
0.69,161.61,Ananya_R,233.07,Table_Fan,2024-11-03T11:24:55.211563514Z
0.66,152.91,Ananya_R,232.66,Table_Fan,2024-11-03T11:25:04.810094688Z
0.69,160.92,Ananya_R,232.46,Table_Fan,2024-11-03T11:25:14.454442088Z
0.68,159.59,Ananya_R,233.14,Table_Fan,2024-11-03T11:25:22.865955396Z
0.63,146.03,Ananya_R,232.76,Table_Fan,2024-11-03T11:25:30.813976254Z
0.62,145.06,Ananya_R,232.9,Table_Fan,2024-11-03T11:25:38.79717424Z
0.73,171.17,Ananya_R,232.91,Table_Fan,2024-11-03T11:25:46.188865685Z
0.67,157.26,Ananya_R,233.17,Table_Fan,2024-11-03T11:25:54.778458005Z
0.7,162.62,Ananya_R,232.77,Table_Fan,2024-11-03T11:26:03.372731669Z
0.68,157.54,Ananya_R,233.06,Table_Fan,2024-11-03T11:26:12.596545342Z
0.67,156.2,Ananya_R,233.09,Table_Fan,2024-11-03T11:26:21.013358187Z
0.67,155.96,Ananya_R,232.99,Table_Fan,2024-11-03T11:26:30.853558546Z
0.72,167.52,Ananya_R,232.66,Table_Fan,2024-11-03T11:26:38.807330028Z
0.71,164.72,Ananya_R,232.91,Table_Fan,2024-11-03T11:26:48.236315531Z
0.69,159.98,Ananya_R,233.31,Table_Fan,2024-11-03T11:27:00.327439916Z
0.68,158.42,Ananya_R,232.65,Table_Fan,2024-11-03T11:27:08.91398375Z
0.71,166,Ananya_R,232.93,Table_Fan,2024-11-03T11:27:17.310906038Z
0.72,149.33,Ananya_R,208.64,Table_Fan,2024-11-03T11:27:25.288324836Z
0.7,146.24,Ananya_R,209.83,Table_Fan,2024-11-03T11:27:34.104939061Z
0.66,136.7,Ananya_R,206.57,Table_Fan,2024-11-03T11:27:42.490730665Z
0.71,148.09,Ananya_R,209.74,Table_Fan,2024-11-03T11:27:50.484758374Z
0.69,144.21,Ananya_R,207.72,Table_Fan,2024-11-03T11:27:58.477424379Z
